Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
1.0,0,34,0.0,630.0,12.0,3.0,4.0,2,1,2,25,42.39,0
5.062962962962963,0,33,0.11851851851851852,929.9296296296296,17.433333333333334,10.148148148148149,8.514814814814814,2,1,2,25,73.71651851851851,1
2.0,0,33,0.0,7428.0,125.0,374.0,39.0,2,1,1,25,2022.885,0
6.0,0,33,0.0,11385.0,152.0,1.0,43.0,3,1,1,30,465.48,0
7.0,0,33,0.0,6638.0,73.0,98.0,33.0,2,1,1,25,742.995,0
22.0,0,29,0.0,875.0,45.0,6.0,13.0,2,1,2,25,68.4,1
20.0,0,32,7.0,10355.0,91.0,0.0,38.0,4,1,1,45,261.15,0
12.0,1,32,0.0,5738.0,96.0,16.0,20.0,2,1,1,25,334.53,1
0.0,0,30,0.0,2760.0,20.0,0.0,10.0,3,1,1,30,111.2,0
8.0,1,31,0.0,2910.0,39.0,0.0,12.0,3,1,2,30,117.96,1
8.0,0,32,0.0,2188.0,42.0,24.0,27.0,3,1,2,30,185.2,1
10.485849056603774,1,32,0.28773584905660377,2003.882075471698,39.04245283018868,18.57075471698113,16.75943396226415,3,1,2,30,150.33740566037736,1
0.0,0,32,0.0,1588.0,23.0,0.0,2.0,3,1,1,30,64.44,0
2.0,0,29,0.0,6705.0,95.0,4.0,18.0,4,1,1,45,180.0,0
5.062962962962963,0,32,0.11851851851851852,929.9296296296296,17.433333333333334,10.148148148148149,8.514814814814814,4,1,2,45,73.71651851851851,1
9.033766233766233,0,32,2.207792207792208,5910.688311688312,85.52207792207793,27.4987012987013,34.774025974025975,5,1,1,55,181.49785714285716,0
24.0,0,27,2.0,15995.0,236.0,0.0,76.0,2,1,1,25,730.395,0
5.0,0,30,2.0,6885.0,114.0,261.0,29.0,2,2,1,25,1489.455,0
1.0,0,32,0.0,3638.0,80.0,0.0,24.0,2,1,1,25,167.31,0
2.0,0,31,0.0,1585.0,42.0,28.0,16.0,3,1,2,30,177.08,0
5.0,0,32,0.0,2700.0,51.0,165.0,19.0,2,1,1,25,866.295,0
3.0,0,23,0.0,1235.0,34.0,183.0,7.0,2,2,1,25,880.605,0
3.0,0,22,0.0,1488.0,37.0,20.0,64.0,4,1,1,45,88.125,0
10.0,0,23,0.0,620.0,23.0,0.0,3.0,2,1,2,25,28.935,0
0.0,0,22,0.0,0.0,0.0,11.0,0.0,4,1,2,45,27.5,0
9.0,0,21,0.0,1145.0,30.0,9.0,9.0,2,1,1,25,93.375,0
1.0,0,21,0.0,3145.0,59.0,0.0,19.0,3,1,1,30,128.16,0
1.0,0,14,0.0,1615.0,24.0,18.0,10.0,2,1,1,25,154.755,0
15.0,0,13,0.0,6313.0,139.0,75.0,38.0,1,2,1,15,767.36,0
11.0,0,11,0.0,8853.0,169.0,63.0,36.0,4,1,1,45,383.05,0
7.0,0,12,2.0,2773.0,43.0,21.0,15.0,3,1,1,30,196.64,0
1.0,0,5,0.0,4310.0,38.0,205.0,6.0,3,1,1,30,993.92,0
2.0,0,5,0.0,1408.0,17.0,0.0,3.0,3,1,1,30,57.0,1
13.0,0,44,1.0,4630.0,81.0,20.0,23.0,3,1,1,30,268.44,0
5.0,0,45,0.0,578.0,15.0,22.0,10.0,3,1,2,30,111.72,0
15.0,0,43,1.0,2713.0,70.0,374.0,30.0,3,1,1,30,1607.32,0
15.0,0,44,1.0,4458.0,76.0,16.0,41.0,1,1,1,15,337.37,0
8.0,0,44,1.0,2653.0,68.0,17.0,39.0,2,1,1,25,198.945,0
16.0,0,44,2.0,4035.0,92.0,47.0,34.0,3,1,1,30,353.08,0
9.0,0,44,1.0,2620.0,49.0,300.0,24.0,3,1,1,30,1306.76,0
18.0,0,43,3.0,9375.0,131.0,159.0,49.0,3,1,1,30,1016.24,0
12.0,0,44,1.0,14033.0,179.0,15.0,50.0,3,1,1,30,628.48,0
12.0,0,44,2.0,4775.0,93.0,17.0,31.0,3,1,1,30,262.72,0
11.0,0,44,1.0,6178.0,105.0,22.0,18.0,3,1,1,30,339.32,0
14.0,1,44,0.0,2498.0,64.0,23.0,23.0,3,1,2,30,194.48,0
30.0,0,44,4.0,15400.0,235.0,69.0,38.0,3,1,1,30,901.4,0
9.0,0,44,2.0,3355.0,37.0,498.0,14.0,3,1,1,30,2127.68,0
14.0,0,43,1.0,15745.0,192.0,165.0,36.0,2,1,1,25,1459.665,0
8.0,0,43,2.0,6760.0,96.0,201.0,32.0,3,1,1,30,1078.24,0
5.0,0,43,0.0,1135.0,24.0,15.0,17.0,2,1,2,25,119.655,0
7.0,0,44,0.0,970.0,24.0,28.0,14.0,3,1,2,30,151.76,0
5.0,0,43,0.0,260.0,10.0,15.0,6.0,2,1,2,25,79.65,1
8.0,0,43,1.0,7768.0,137.0,399.0,49.0,3,1,1,30,1912.2,0
12.0,0,43,2.0,11725.0,164.0,26.0,53.0,4,1,1,45,362.225,0
13.0,0,43,2.0,6978.0,85.0,123.0,43.0,2,1,1,25,871.335,0
28.0,1,39,0.0,1215.0,57.0,31.0,23.0,3,1,2,30,174.88,1
26.0,0,42,9.0,10695.0,103.0,16.0,48.0,5,2,1,55,185.97,0
18.0,0,42,2.0,6078.0,108.0,41.0,30.0,2,1,1,25,462.87,0
6.0,0,40,1.0,3100.0,32.0,15.0,20.0,3,1,1,30,185.28,0
14.0,1,41,0.0,3250.0,51.0,24.0,22.0,3,1,2,30,228.04,1
14.0,1,42,0.0,2528.0,54.0,49.0,37.0,4,1,2,45,187.05,1
5.0,0,42,0.0,393.0,12.0,15.0,8.0,3,1,2,30,76.2,1
6.0,0,42,1.0,1928.0,35.0,15.0,12.0,4,1,1,45,86.575,0
8.0,0,39,2.0,7045.0,107.0,29.0,28.0,5,1,1,55,150.78,0
5.0,0,42,0.0,888.0,17.0,24.0,10.0,4,1,2,45,82.625,1
5.0,0,42,2.0,598.0,14.0,19.0,8.0,5,1,1,55,37.68,0
30.0,1,37,4.0,16335.0,248.0,15.0,86.0,2,1,1,25,813.735,0
11.0,1,40,4.0,7225.0,126.0,286.0,39.0,3,2,1,30,1438.04,0
7.0,0,42,1.0,3978.0,92.0,17.0,34.0,3,1,1,30,230.8,0
8.0,0,41,0.0,1925.0,54.0,53.0,26.0,3,1,2,30,291.16,0
11.0,0,42,1.0,3040.0,63.0,190.0,29.0,2,1,1,25,994.635,0
9.0,0,33,2.0,1575.0,46.0,208.0,17.0,3,2,1,30,896.84,0
9.0,0,32,1.0,1828.0,49.0,45.0,74.0,5,1,1,55,95.655,0
16.0,0,33,0.0,960.0,35.0,25.0,13.0,3,1,2,30,139.8,0
5.0,0,32,0.0,1085.0,20.0,36.0,9.0,4,1,2,45,117.625,0
15.0,0,31,1.0,1485.0,42.0,34.0,19.0,2,1,1,25,221.715,0
7.0,0,31,1.0,3485.0,71.0,23.0,29.0,3,1,1,30,234.24,0
7.0,0,24,1.0,1955.0,36.0,43.0,20.0,3,1,1,30,251.64,0
21.0,0,23,2.0,6653.0,151.0,100.0,48.0,2,2,1,25,756.18,0
17.0,0,21,1.0,9193.0,181.0,88.0,46.0,5,1,1,55,272.61,0
13.0,0,22,4.0,3113.0,55.0,46.0,25.0,3,1,1,30,310.72,0
7.0,0,15,2.0,4650.0,50.0,230.0,16.0,3,1,1,30,1108.0,0
8.0,1,15,2.0,1748.0,29.0,15.0,13.0,3,1,1,30,131.08,1
3.0,0,32,0.0,4110.0,61.0,0.0,11.0,2,1,1,25,187.695,0
4.404938271604938,0,33,0.0,949.5432098765432,21.720987654320986,15.387654320987654,9.45679012345679,2,1,2,25,93.81918518518518,0
5.0,0,31,0.0,2193.0,50.0,344.0,18.0,2,1,1,25,1648.935,0
5.0,0,32,0.0,3938.0,56.0,0.0,29.0,1,1,1,15,219.67,0
0.0,0,32,0.0,2133.0,48.0,0.0,27.0,1,1,1,15,119.955,0
6.0,0,32,0.0,3515.0,72.0,17.0,22.0,2,1,1,25,237.915,0
0.0,0,32,0.0,2100.0,29.0,270.0,12.0,3,1,1,30,1165.16,0
8.0,0,31,1.0,8855.0,111.0,129.0,37.0,3,1,1,30,874.64,0
2.0,0,32,0.0,13513.0,159.0,0.0,38.0,3,1,1,30,546.88,0
2.0,0,32,0.0,4255.0,73.0,0.0,19.0,3,1,1,30,173.12,0
1.0,0,32,0.0,5658.0,85.0,0.0,6.0,2,1,1,25,258.435,0
4.0,0,32,0.0,1978.0,44.0,0.0,11.0,3,1,2,30,80.88,0
20.0,0,32,2.0,14880.0,215.0,39.0,26.0,3,1,1,30,759.8,0
0.0,0,32,0.0,2835.0,17.0,468.0,2.0,3,1,1,30,1986.08,0
4.0,0,31,0.0,15225.0,172.0,135.0,24.0,2,1,1,25,1300.365,0
